Epsilon,s-Top100-wilcoxon-equal,p-Top100-wilcoxon-equal,s-Top100-wilcoxon-greater,p-Top100-wilcoxon-greater,s-Top100-ttest,p-Top100-ttest,s-Top10-wilcoxon-equal,p-Top10-wilcoxon-equal,s-Top10-wilcoxon-greater,p-Top10-wilcoxon-greater,s-Top10-ttest,p-Top10-ttest
0.0,32255.0,0.0,5814235.0,0.0,49.10081572109501,0.0,24054.0,0.0,5822436.0,0.0,67.37018326161217,0.0
0.01,30176.0,0.0,5816314.0,0.0,49.224461752015365,0.0,28871.0,0.0,5817619.0,0.0,67.27014551337797,0.0
0.1,20773.0,0.0,5825717.0,0.0,49.94588338027179,0.0,56975.0,0.0,5789515.0,0.0,66.29061888538226,0.0
0.25,14752.0,0.0,5831738.0,0.0,51.30022581538736,0.0,89090.0,0.0,5757400.0,0.0,64.29266014135243,0.0
0.5,9903.0,0.0,5836587.0,0.0,52.5115816553637,0.0,127547.0,0.0,5718943.0,0.0,61.18484306882868,0.0
0.75,7247.0,0.0,5839243.0,0.0,53.19989219655485,0.0,143592.0,0.0,5702898.0,0.0,58.60121005832432,0.0
0.9,9153.0,0.0,5837337.0,0.0,52.60648746244241,0.0,117488.0,0.0,5729002.0,0.0,57.822483659043606,0.0
0.99,10040.0,0.0,5836450.0,0.0,52.46145514861599,0.0,144191.0,0.0,5702299.0,0.0,56.62021658492282,0.0
1.0,12285.0,0.0,5834205.0,0.0,52.54291018024246,0.0,140670.0,0.0,5705820.0,0.0,56.54697461338726,0.0
