Epsilon,s-Top100-wilcoxon-equal,p-Top100-wilcoxon-equal,s-Top100-wilcoxon-greater,p-Top100-wilcoxon-greater,s-Top100-ttest,p-Top100-ttest,s-Top10-wilcoxon-equal,p-Top10-wilcoxon-equal,s-Top10-wilcoxon-greater,p-Top10-wilcoxon-greater,s-Top10-ttest,p-Top10-ttest
0.0,32255.0,0.0,5814235.0,0.0,49.10081572109501,0.0,24054.0,0.0,5822436.0,0.0,67.37018326161217,0.0
0.01,31222.0,0.0,5815268.0,0.0,49.24410104250217,0.0,27822.0,0.0,5818668.0,0.0,67.29119615675468,0.0
0.1,18251.0,0.0,5828239.0,0.0,50.17157681996947,0.0,59855.0,0.0,5786635.0,0.0,66.21102201132327,0.0
0.25,16693.0,0.0,5829797.0,0.0,51.04997266405368,0.0,83710.0,0.0,5762780.0,0.0,64.50083287108478,0.0
0.5,11020.0,0.0,5835470.0,0.0,52.50843546262383,0.0,125136.0,0.0,5721354.0,0.0,61.14006441776473,0.0
0.75,8002.0,0.0,5838488.0,0.0,53.24099498393558,0.0,135852.0,0.0,5710638.0,0.0,58.71593786498577,0.0
0.9,8757.0,0.0,5837733.0,0.0,52.951638620230355,0.0,122233.0,0.0,5724257.0,0.0,57.89404719624396,0.0
0.99,9208.0,0.0,5837282.0,0.0,52.35456022702897,0.0,138597.0,0.0,5707893.0,0.0,56.55771644361639,0.0
1.0,9211.0,0.0,5837279.0,0.0,52.63943052302444,0.0,137559.0,0.0,5708931.0,0.0,57.08647918393076,0.0
